城市,特征,重要性,更新时间
吉林,风速,0.5536,2026-04-15 13:41:29
吉林,AQI_roll_mean_3,0.4002,2026-04-15 13:41:29
吉林,小时,0.3947,2026-04-15 13:41:29
吉林,降水量,0.3549,2026-04-15 13:41:29
吉林,AQI_lag_2,0.3294,2026-04-15 13:41:29
吉林,AQI_lag_1,0.3046,2026-04-15 13:41:29
吐鲁番,温度,0.634,2026-04-15 13:41:29
吐鲁番,湿度,0.6092,2026-04-15 13:41:29
吐鲁番,风速,0.5713,2026-04-15 13:41:29
吐鲁番,AQI_roll_mean_3,0.4354,2026-04-15 13:41:29
吐鲁番,小时,0.4243,2026-04-15 13:41:29
吐鲁番,AQI_lag_1,0.3935,2026-04-15 13:41:29
吐鲁番,降水量,0.344,2026-04-15 13:41:29
吐鲁番,AQI_lag_2,0.3346,2026-04-15 13:41:29
吕梁,湿度,0.6521,2026-04-15 13:41:29
吕梁,温度,0.6386,2026-04-15 13:41:29
吕梁,风速,0.6135,2026-04-15 13:41:29
吕梁,AQI_roll_mean_3,0.4562,2026-04-15 13:41:29
吕梁,小时,0.4007,2026-04-15 13:41:29
